id,scrapedrecipeguid,name,modelledname
2713,9c655b2b-e13a-4fde-b8dd-a3d96254cdb8,250g macaroni,macaroni
2714,9c655b2b-e13a-4fde-b8dd-a3d96254cdb8,"1 head cauliflower, broken into pieces",cauliflower
2715,9c655b2b-e13a-4fde-b8dd-a3d96254cdb8,25g butter,butter
2716,9c655b2b-e13a-4fde-b8dd-a3d96254cdb8,2 tbsp plain flour,flour
2717,9c655b2b-e13a-4fde-b8dd-a3d96254cdb8,2 tsp English mustard powder,English mustard powder
2718,9c655b2b-e13a-4fde-b8dd-a3d96254cdb8,450ml milk,milk
2719,9c655b2b-e13a-4fde-b8dd-a3d96254cdb8,"100g cheddar, grated",blank
2720,6907a52e-38a9-4137-97fc-92b676761223,50g unsalted butter,unsalted butter
2721,6907a52e-38a9-4137-97fc-92b676761223,"2 shallot, finely chopped",shallot
2722,6907a52e-38a9-4137-97fc-92b676761223,"400g pack duck or chicken liver, cleaned",pack
2723,6907a52e-38a9-4137-97fc-92b676761223,1 heaped tsp thyme leaves,heaped tsp thyme leaves
2724,6907a52e-38a9-4137-97fc-92b676761223,2 tbsp gin,gin
2725,6907a52e-38a9-4137-97fc-92b676761223,170ml pot double cream,pot double cream
2726,6907a52e-38a9-4137-97fc-92b676761223,100g unsalted butter,unsalted butter
2727,6907a52e-38a9-4137-97fc-92b676761223,"16 juniper berry, chopped",juniper berry
2728,6907a52e-38a9-4137-97fc-92b676761223,2 tsp thyme leaves,tsp thyme leaves
2729,6907a52e-38a9-4137-97fc-92b676761223,"thinly sliced seed bread or brioche, toasted",bread
2730,6907a52e-38a9-4137-97fc-92b676761223,a few gherkins or cornichons,gherkins
2731,287c3d69-a766-4ce4-ad12-6d2f6ad950ec,5 tbsp cider vinegar,cider vinegar
2732,287c3d69-a766-4ce4-ad12-6d2f6ad950ec,2 tbsp extra-virgin olive oil or rapeseed oil,olive oil oil
2733,287c3d69-a766-4ce4-ad12-6d2f6ad950ec,little drizzle of honey,honey
2734,287c3d69-a766-4ce4-ad12-6d2f6ad950ec,"3-4 apple, cored and thinly sliced",apple
2735,287c3d69-a766-4ce4-ad12-6d2f6ad950ec,"1 small cauliflower, chopped",cauliflower
2736,287c3d69-a766-4ce4-ad12-6d2f6ad950ec,handful of alfalfa sprouts (optional),alfalfa sprouts
2737,287c3d69-a766-4ce4-ad12-6d2f6ad950ec,"200g Stilton or vegetarian crumbly blue cheese, such as Dorset Blue Vinney, crumbled",Stilton cheese
2738,287c3d69-a766-4ce4-ad12-6d2f6ad950ec,"small bunch mint, chopped",mint
2739,287c3d69-a766-4ce4-ad12-6d2f6ad950ec,"50g sunflower seeds, toasted (walnuts or cobnuts also work well)",sunflower seeds
2740,44507a9e-df68-451e-b3ed-a3a01ca20a85,50ml cherry brandy liqueur,brandy liqueur
2741,44507a9e-df68-451e-b3ed-a3a01ca20a85,50ml kirsch,kirsch
2742,44507a9e-df68-451e-b3ed-a3a01ca20a85,50ml amaretto,amaretto
2743,44507a9e-df68-451e-b3ed-a3a01ca20a85,100ml vodka,vodka
2744,44507a9e-df68-451e-b3ed-a3a01ca20a85,750ml bottle sparkling red grape juice (we used Shloer),juice
2745,44507a9e-df68-451e-b3ed-a3a01ca20a85,12 maraschino cherry,maraschino cherry
2746,c0ffa215-ccc4-4341-9fed-841641d761c0,"1kg Brussels sprout, trimmed",Brussels sprout
2747,c0ffa215-ccc4-4341-9fed-841641d761c0,4 tbsp goose fat,goose fat
2748,c0ffa215-ccc4-4341-9fed-841641d761c0,"a few sage sprigs, shredded",sage
2749,c0ffa215-ccc4-4341-9fed-841641d761c0,"200g pack whole, cooked and peeled chestnuts",chestnuts
2750,1e8778b8-7c6c-4191-add4-7f19862b842f,"2kg spare ribs, cut into individual ribs",spare ribs
2751,1e8778b8-7c6c-4191-add4-7f19862b842f,2 tbsp barbecue spice mix,barbecue spice mix
2752,1e8778b8-7c6c-4191-add4-7f19862b842f,150g tomato ketchup,tomato ketchup
2753,1e8778b8-7c6c-4191-add4-7f19862b842f,140g chilli ketchup,chilli ketchup
2754,1e8778b8-7c6c-4191-add4-7f19862b842f,3 tbsp soy sauce,soy sauce
2755,1e8778b8-7c6c-4191-add4-7f19862b842f,140g runny honey,runny honey
2756,1e8778b8-7c6c-4191-add4-7f19862b842f,3 tbsp teriyaki sauce,teriyaki sauce
2757,1e8778b8-7c6c-4191-add4-7f19862b842f,4 tbsp bourbon whiskey,bourbon whiskey
2758,7852f924-69cb-4c71-8a26-ab1596dc6cad,"1 tbsp olive oil, plus a drizzle to serve (optional)",olive oil
2759,7852f924-69cb-4c71-8a26-ab1596dc6cad,"2 x 400g cans cannellini beans, rinsed and drained",beans
2760,7852f924-69cb-4c71-8a26-ab1596dc6cad,2 tbsp pesto,pesto
2761,55a9d354-5463-4eb7-ab38-20d445fa8a1b,300g soured cream or cr&#232;me fra&#238;che,soured cream
2762,55a9d354-5463-4eb7-ab38-20d445fa8a1b,100g mayonnaise,mayonnaise
2763,55a9d354-5463-4eb7-ab38-20d445fa8a1b,"150g blue cheese, crumbled (Danish or Roquefort)",blue cheese
2764,55a9d354-5463-4eb7-ab38-20d445fa8a1b,1 tbsp white wine vinegar,white wine vinegar
2765,55a9d354-5463-4eb7-ab38-20d445fa8a1b,1 tsp Worcestershire sauce,tsp Worcestershire sauce
2766,55a9d354-5463-4eb7-ab38-20d445fa8a1b,"1 head celery, cut into batons",celery
2767,1678626d-f102-44f3-9781-f43acf2c9943,2 ducks,ducks
2768,1678626d-f102-44f3-9781-f43acf2c9943,140g caster sugar,caster sugar
2769,1678626d-f102-44f3-9781-f43acf2c9943,6 star anise seeds,star anise seeds
2770,1678626d-f102-44f3-9781-f43acf2c9943,"large piece ginger, sliced",ginger
2771,1678626d-f102-44f3-9781-f43acf2c9943,"small bunch spring onions, roughly chopped",onions
2772,1678626d-f102-44f3-9781-f43acf2c9943,2 tbsp malt syrup or maltose (available in most Chinese supermarkets),malt syrup
2773,1678626d-f102-44f3-9781-f43acf2c9943,3 tbsp red wine vinegar,red wine vinegar
2774,c64fa0de-4bde-4ee8-80ac-09a8bab717bf,100g basmati rice,basmati rice
2775,c64fa0de-4bde-4ee8-80ac-09a8bab717bf,2 large tilapia fillet,tilapia
2776,c64fa0de-4bde-4ee8-80ac-09a8bab717bf,2 tsp butter,butter
2777,c64fa0de-4bde-4ee8-80ac-09a8bab717bf,"150g pot fat-free yogurt, to serve",pot yogurt
2778,c64fa0de-4bde-4ee8-80ac-09a8bab717bf,"2 small naan bread, to serve",naan bread
2779,c64fa0de-4bde-4ee8-80ac-09a8bab717bf,"handful coriander, roughly chopped",coriander
2780,c64fa0de-4bde-4ee8-80ac-09a8bab717bf,"&#189; green chilli, deseeded",green chilli
2781,c64fa0de-4bde-4ee8-80ac-09a8bab717bf,25g desiccated coconut,desiccated coconut
2782,c64fa0de-4bde-4ee8-80ac-09a8bab717bf,"1 lemon &#189; juiced, &#189; cut into wedges",lemon &#189; juiced
2783,c64fa0de-4bde-4ee8-80ac-09a8bab717bf,1 tsp chopped ginger,ginger
2784,c64fa0de-4bde-4ee8-80ac-09a8bab717bf,&#189; tsp ground cumin,tsp cumin
